Filter,PSNR,SSIM,MSE,Entropy,CII
Original,100.0,1.0,0.0,4.312967753688213,1.0
Unsharp Mask,100.0,1.0,0.0,4.053675919794636,1.0
Gaussian LPF,38.49925404751317,0.9834625614774151,9.186603156887756,4.173432526293373,0.9882755351306209
Median Filter,41.00687646988443,0.9712178962369119,5.156947544642857,4.2878740549537575,0.997628205576402
Gaussian Smooth,36.66019161057237,0.9690880514747537,14.03011399872449,4.488512741584609,0.9906870180337202
Ideal LPF,35.12841758674847,0.9485012267616365,19.963588169642858,4.751564763988761,0.9638963493751459
Median + Gamma,26.867404319430722,0.9423235102558666,133.76420998086735,3.8792081606324147,1.142507671396213
Mean Filter,33.51832070006459,0.9356656462897173,28.923329878826532,4.545001674949434,0.985529507911101
Bilateral,34.79436245226089,0.9219973161139741,21.559769610969386,4.574399846734971,0.9842029421881039
Median + Laplacian,28.26044850181463,0.9041894289567635,97.05893255739795,4.077993968010219,1.0333688659561426
Laplacian,27.928327202852458,0.8888906828851114,104.77258051658163,4.377917893576254,1.0378516065464805
ACE-ME (Novel),17.782919961821207,0.8047415810937709,1083.3988360969388,4.166803107385068,0.6049862788896951
CLAHE,26.424468554197208,0.6436358700759193,148.1267538265306,4.453732603091276,1.1169786206557302
Homomorphic,12.68453271581556,0.5414340672758219,3504.5082708864797,3.0867877965285673,0.22847834960242722
Ideal HPF,12.200410766128195,0.16032245724226063,3917.773138552296,5.120331634302216,0.4508691262353692
